,song,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,album,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,popularity
0,Red,14,12,6,2,2,7,11,17,2,10,Red,0.0779,0.605,0.899,0.0911,-4.273,0.0423,124.985,0.647,46
1,Treacherous,11,10,10,5,7,10,4,0,2,4,Red,0.101,0.704,0.621,0.14,-8.086,0.0334,109.995,0.395,39
2,All Too Well,8,15,8,7,4,3,6,8,3,8,Red,0.0448,0.602,0.605,0.128,-7.803,0.0244,93.061,0.316,48
3,Begin Again,9,3,0,7,0,1,6,1,3,0,Red,0.199,0.53,0.526,0.14,-8.349,0.0263,79.025,0.323,40
4,Welcome To New York,8,9,2,1,2,3,7,2,0,5,1989,0.038,0.793,0.634,0.304,-4.807,0.0324,117.023,0.615,62
5,Blank Space,39,48,28,29,15,32,32,23,12,18,1989,0.085,0.752,0.678,0.13,-5.421,0.0646,96.009,0.583,72
6,Style,11,3,0,18,0,1,6,1,4,6,1989,0.00256,0.598,0.786,0.117,-5.572,0.0382,95.021,0.456,69
7,All You Had To Do Was Stay,2,6,0,0,1,1,2,5,0,0,1989,0.00196,0.602,0.735,0.105,-5.778,0.0337,96.969,0.472,62
8,Shake It Off,12,40,18,2,21,18,12,20,17,2,1989,0.0561,0.648,0.785,0.148,-5.414,0.165,160.02,0.943,71
9,I Wish You Would,11,15,9,12,7,11,10,10,7,6,1989,0.016,0.649,0.898,0.109,-5.963,0.0511,118.027,0.503,54
10,Bad Blood,29,34,27,8,24,35,29,32,3,6,1989,0.0871,0.652,0.802,0.148,-6.114,0.181,170.157,0.295,66
11,Wildest Dreams,12,10,4,7,4,4,2,6,4,2,1989,0.0709,0.553,0.664,0.106,-7.417,0.0741,140.06,0.467,71
12,How You Get The Girl,2,18,1,9,0,11,2,9,2,0,1989,0.00463,0.764,0.659,0.0915,-6.136,0.0492,119.982,0.525,55
13,This Love,65,8,6,8,4,6,62,10,8,5,1989,0.635,0.485,0.459,0.101,-8.768,0.0337,71.981,0.0858,53
14,Clean,26,9,1,17,13,3,25,5,15,26,1989,0.242,0.81,0.38,0.113,-7.755,0.035,103.981,0.211,55
15,...Ready For It?,10,9,2,11,5,8,8,3,1,1,reputation,0.0527,0.613,0.764,0.197,-6.509,0.136,160.015,0.417,73
16,End Game,20,60,15,4,8,47,12,48,4,11,reputation,0.00845,0.649,0.589,0.108,-6.237,0.0558,159.073,0.151,72
17,I Did Something Bad,28,15,13,24,13,12,25,12,21,23,reputation,0.0679,0.696,0.602,0.0696,-6.156,0.159,82.989,0.305,73
18,Delicate,14,8,2,4,2,4,5,7,0,4,reputation,0.216,0.75,0.404,0.0911,-10.178,0.0682,95.045,0.0499,78
19,Look What You Made Me Do,5,8,7,7,6,5,2,5,1,9,reputation,0.204,0.766,0.709,0.126,-6.471,0.123,128.07,0.506,77
20,So It Goes...,8,21,12,1,11,12,7,18,8,2,reputation,0.122,0.574,0.61,0.13,-7.283,0.0732,74.957,0.374,65
21,Gorgeous,24,24,17,8,15,17,20,21,3,6,reputation,0.0713,0.8,0.535,0.213,-6.684,0.135,92.027,0.451,72
22,Getaway Car,12,25,12,16,4,13,9,17,16,8,reputation,0.00465,0.562,0.689,0.0888,-6.745,0.127,172.054,0.351,73
23,Dress,15,7,2,10,1,5,7,3,2,13,reputation,0.0329,0.719,0.469,0.169,-8.792,0.0533,120.085,0.0851,68
24,This Is Why We Can't Have Nice Things,26,8,2,2,2,6,16,3,8,16,reputation,0.0156,0.567,0.789,0.382,-5.986,0.115,163.96,0.438,67
25,Call It What You Want,17,7,1,3,1,1,14,2,1,7,reputation,0.186,0.598,0.504,0.34,-9.874,0.0731,163.954,0.252,71
26,I Forgot That You Existed,14,20,12,10,9,12,10,15,6,10,Lover,0.298,0.664,0.316,0.0812,-10.345,0.519,92.875,0.541,75
27,Cruel Summer,23,22,16,15,16,23,12,23,5,16,Lover,0.117,0.552,0.702,0.105,-5.707,0.157,169.994,0.564,76
28,The Man,10,17,8,9,14,8,4,14,2,5,Lover,0.0767,0.777,0.658,0.0901,-5.191,0.054,110.048,0.633,80
29,The Archer,9,16,9,3,5,14,6,8,4,6,Lover,0.12,0.292,0.574,0.0663,-9.375,0.0401,124.344,0.166,70
30,I Think He Knows,20,8,0,18,2,4,19,5,3,17,Lover,0.00889,0.897,0.366,0.0715,-8.029,0.0569,100.003,0.416,70
31,Miss Americana & The Heartbreak Prince,10,42,22,11,15,27,6,30,6,9,Lover,0.028,0.662,0.747,0.138,-6.926,0.0736,150.088,0.487,71
32,Paper Rings,28,20,5,14,8,15,23,12,12,19,Lover,0.0129,0.811,0.719,0.0742,-6.553,0.0497,103.979,0.865,75
33,Cornelia Street,16,13,10,10,9,11,15,7,15,13,Lover,0.781,0.824,0.624,0.1,-9.728,0.0827,102.012,0.248,71
34,Death By A Thousand Cuts,14,15,9,12,7,11,10,10,7,4,Lover,0.454,0.712,0.732,0.319,-6.754,0.0629,94.071,0.313,71
35,London Boy,42,22,1,20,10,10,37,14,7,19,Lover,0.0246,0.695,0.71,0.133,-6.639,0.05,157.925,0.557,71
36,False God,35,18,5,27,1,25,31,8,6,24,Lover,0.736,0.739,0.32,0.111,-10.862,0.239,79.97,0.351,69
37,Afterglow,6,33,16,2,9,29,4,28,10,0,Lover,0.13,0.756,0.449,0.114,-8.746,0.0344,111.011,0.399,71
38,Daylight,10,20,3,9,3,16,9,16,2,6,1989,0.808,0.557,0.496,0.0772,-9.602,0.0563,149.983,0.265,69
39,august,19,12,2,19,2,6,13,11,14,13,folklore,0.538,0.532,0.623,0.0925,-9.208,0.0331,89.937,0.403,80
40,betty,17,9,3,10,2,4,12,6,3,9,folklore,0.6,0.593,0.377,0.0976,-8.761,0.0253,95.939,0.502,79
41,cardigan,19,11,6,14,4,6,18,5,12,9,folklore,0.537,0.613,0.581,0.25,-8.588,0.0424,130.033,0.551,86
42,champagne problems,18,13,2,6,1,11,8,12,3,9,evermore,0.92,0.462,0.24,0.113,-12.077,0.0377,171.319,0.32,89
43,closure,16,6,4,19,1,2,13,14,1,3,evermore,0.835,0.689,0.704,0.134,-10.813,0.245,151.884,0.92,83
44,cowboy like me,26,8,1,14,0,4,20,4,5,9,evermore,0.768,0.604,0.517,0.123,-9.014,0.0347,127.967,0.511,84
45,dorothea,5,8,2,2,2,2,3,4,1,4,evermore,0.696,0.605,0.488,0.129,-8.322,0.0264,119.966,0.354,84
46,epiphany,8,9,2,7,1,9,3,5,0,7,folklore,0.731,0.354,0.267,0.0858,-13.69,0.0281,94.219,0.113,74
47,gold rush,28,14,4,11,5,6,13,10,2,7,evermore,0.83,0.512,0.462,0.121,-10.491,0.0408,112.05,0.353,87
48,happiness,28,21,8,21,6,9,23,14,13,11,evermore,0.87,0.559,0.334,0.114,-10.733,0.0376,122.079,0.211,85
49,hoax,9,19,12,4,6,11,6,18,5,7,Lover,0.966,0.662,0.181,0.133,-15.065,0.0415,118.819,0.429,74
50,hoax,9,19,12,4,6,11,6,18,5,7,Lover,0.966,0.662,0.181,0.133,-15.065,0.0415,118.819,0.429,74
51,illicit affairs,6,17,10,6,11,6,4,9,4,6,folklore,0.881,0.559,0.31,0.106,-10.445,0.0338,119.845,0.46,77
52,invisible string,18,8,4,14,4,5,10,6,4,8,folklore,0.838,0.653,0.452,0.108,-11.143,0.055,83.433,0.45,78
53,long story short,7,21,7,18,5,13,4,11,5,3,evermore,0.66,0.546,0.73,0.0972,-7.704,0.0417,157.895,0.573,84
54,mad woman,7,37,30,12,20,28,3,23,4,5,folklore,0.655,0.592,0.699,0.114,-8.995,0.0471,141.916,0.506,75
55,mirrorball,21,9,0,10,0,6,15,1,6,4,folklore,0.687,0.553,0.413,0.0594,-10.037,0.0334,110.107,0.379,77
56,my tears ricochet,12,18,13,3,8,11,3,6,2,5,folklore,0.806,0.456,0.263,0.0749,-10.63,0.0332,129.86,0.111,78
57,peace,22,10,3,11,4,8,13,7,3,16,folklore,0.918,0.647,0.272,0.0918,-12.906,0.0916,150.044,0.339,75
58,seven,13,8,7,6,3,6,12,5,4,3,folklore,0.9,0.596,0.488,0.091,-10.769,0.0274,94.926,0.415,77
59,the 1,17,7,7,14,2,4,8,1,4,5,folklore,0.757,0.777,0.357,0.108,-6.942,0.0522,139.883,0.172,83
60,the last great american dynasty,24,10,8,16,4,3,16,4,4,7,folklore,0.467,0.686,0.662,0.109,-8.505,0.0413,147.922,0.706,79
61,this is me trying,2,11,5,1,2,6,0,7,0,1,folklore,0.314,0.515,0.476,0.171,-9.843,0.0328,135.886,0.412,77
62,tolerate it,17,19,9,19,4,10,13,11,6,4,evermore,0.878,0.316,0.361,0.0797,-10.381,0.0488,74.952,0.221,86
63,willow,0,0,0,0,0,0,0,0,0,0,evermore,0.833,0.392,0.574,0.145,-9.195,0.17,81.112,0.529,92
